product_id,branch_id,product_name,category,stock_quantity,unit_price
5741,2,Customer,Electronics,408,130.18
7455,2,Already,Electronics,70,231.41
6011,2,Teach,Furniture,352,49.18
5972,2,Western,Accessories,117,211.37
9137,2,Century,Accessories,471,84.51
2388,2,Believe,Accessories,21,109.44
4731,2,Machine,Furniture,70,253.61
9146,2,Certain,Electronics,494,273.78
3044,2,Price,Clothing,155,97.73
5488,2,Send,Clothing,333,130.04
9692,2,Program,Electronics,500,170.35
9219,2,Sure,Clothing,456,143.05
8756,2,Most,Groceries,157,128.78
6991,2,Why,Furniture,454,188.5
9579,2,Worry,Furniture,347,142.31
3284,2,Face,Accessories,469,39.32
1013,2,Sport,Electronics,372,130.03
4748,2,Along,Accessories,397,224.56
4745,2,Physical,Accessories,334,215.78
5090,2,Carry,Groceries,14,285.25
7056,2,Machine,Clothing,482,104.89
5742,2,Medical,Accessories,499,226.74
1787,2,Indeed,Accessories,155,126.25
5278,2,Always,Clothing,302,213.17
1419,2,Author,Clothing,64,277.42
7707,2,Write,Accessories,435,238.31
4419,2,Lead,Accessories,267,289.81
6579,2,Go,Electronics,162,241.66
9307,2,Himself,Furniture,249,19.49
9390,2,Good,Furniture,14,252.26
3147,2,Important,Electronics,12,78.87
4653,2,Experience,Accessories,361,21.4
8286,2,Brother,Groceries,277,108.42
6482,2,Various,Furniture,215,283.99
8937,2,Ago,Furniture,116,111.52
9258,2,Significant,Clothing,356,288.04
4069,2,Right,Accessories,58,167.45
6970,2,Account,Furniture,142,43.18
3884,2,Late,Electronics,136,192.52
3523,2,Threat,Groceries,22,259.09
7077,2,Game,Accessories,137,220.64
9215,2,Education,Furniture,46,151.78
3857,2,Blood,Accessories,202,273.14
9656,2,Full,Furniture,132,109.18
2738,2,Left,Groceries,346,55.76
1765,2,Participant,Groceries,269,100.69
6934,2,Especially,Groceries,52,50.98
9565,2,Hotel,Accessories,259,69.83
4632,2,Present,Furniture,93,118.28
6811,2,Opportunity,Furniture,127,120.19
9436,2,Want,Clothing,2,251.2
3164,2,Establish,Clothing,415,192.57
6051,2,Join,Clothing,424,60.1
8723,2,Rest,Furniture,349,189.33
8217,2,Recognize,Furniture,196,145.36
2371,2,Agree,Groceries,491,271.15
